Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	83.20476	5.3932	9.6088	1.2		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	83.69992	5.3702	9.6665	1.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	84.19509	5.3148	9.7033	0.92		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	84.690254	5.2804	9.753	0.82		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	85.18541	5.3378	9.8183	0.77		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	85.68057	5.3402	9.8512	0.73		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	86.17573	5.3212	9.8751	0.67		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	86.67089	5.3293	9.9123	0.6		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	87.166046	5.3146	9.956	0.51		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	87.6612	5.3187	9.9937	0.45		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	88.15636	5.3349	10.0306	0.44		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	88.651505	5.3521	10.0639	0.43		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	89.14666	5.3638	10.0859	0.43		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	89.64181	5.3774	10.1049	0.43		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	90.13696	5.3998	10.1336	0.43		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	90.63211	5.4278	10.1814	0.42		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	91.12726	5.4604	10.257	0.41		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	91.6224	5.4927	10.313	0.4		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	92.117546	5.5204	10.3567	0.4		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	92.612686	5.5472	10.399	0.4		
